"id"	"id2"	"id3"	"sex"	"weight"	"TL"	"radmm"	"date"	"area"	"age"	"agei"	"ecotype"
"BH-01588"	5	16	"f"	NA	1050	0.5043	"01.02.2020"	"KJB"	9	2	2
"BH-01588"	5	16	"f"	NA	1050	0.6883	"01.02.2020"	"KJB"	9	3	2
"BH-01588"	5	16	"f"	NA	1050	0.867	"01.02.2020"	"KJB"	9	4	2
"BH-01588"	5	16	"f"	NA	1050	1.0188	"01.02.2020"	"KJB"	9	5	2
"BH-01588"	5	16	"f"	NA	1050	1.1346	"01.02.2020"	"KJB"	9	6	2
"BH-01588"	5	16	"f"	NA	1050	1.2528	"01.02.2020"	"KJB"	9	7	2
"BH-01588"	5	16	"f"	NA	1050	1.3931	"01.02.2020"	"KJB"	9	8	2
"BH-01588"	5	16	"f"	NA	1050	1.5338	"01.02.2020"	"KJB"	9	9	2
"BH-01594"	6	17	"f"	NA	630	0.6593	"28.02.2020"	"WB"	1	1	1
"BH-01595"	7	18	"m"	NA	690	0.4061	"28.02.2020"	"WB"	4	1	1
"BH-01595"	7	18	"m"	NA	690	0.6678	"28.02.2020"	"WB"	4	2	1
"BH-01595"	7	18	"m"	NA	690	0.8494	"28.02.2020"	"WB"	4	3	1
"BH-01595"	7	18	"m"	NA	690	1.0265	"28.02.2020"	"WB"	4	4	1
"BH-01596"	7	19	"f"	NA	660	0.5204	"01.01.2020"	"GJB"	2	1	3
"BH-01596"	7	19	"f"	NA	660	0.7172	"01.01.2020"	"GJB"	2	2	3
"BH-01598"	6	20	"f"	NA	750	0.5348	"01.01.2020"	"GJB"	4	1	2
"BH-01598"	6	20	"f"	NA	750	0.674	"01.01.2020"	"GJB"	4	2	2
"BH-01598"	6	20	"f"	NA	750	0.8526	"01.01.2020"	"GJB"	4	3	2
"BH-01598"	6	20	"f"	NA	750	1.105	"01.01.2020"	"GJB"	4	4	2
"BH-01713"	7	21	"f"	7200	980	0.6013	"8.1.2020"	"SB"	6	1	2
"BH-01713"	7	21	"f"	7200	980	0.8453	"8.1.2020"	"SB"	6	2	2
"BH-01713"	7	21	"f"	7200	980	1.0252	"8.1.2020"	"SB"	6	3	2
"BH-01713"	7	21	"f"	7200	980	1.1915	"8.1.2020"	"SB"	6	4	2
"BH-01713"	7	21	"f"	7200	980	1.3285	"8.1.2020"	"SB"	6	5	2
"BH-01713"	7	21	"f"	7200	980	1.4591	"8.1.2020"	"SB"	6	6	2
"BH-01717"	8	22	"f"	NA	1040	0.4341	"28.02.2020"	"BEG"	11	1	2
"BH-01717"	8	22	"f"	NA	1040	0.6423	"28.02.2020"	"BEG"	11	2	2
"BH-01717"	8	22	"f"	NA	1040	0.7759	"28.02.2020"	"BEG"	11	3	2
"BH-01717"	8	22	"f"	NA	1040	0.8934	"28.02.2020"	"BEG"	11	4	2
"BH-01717"	8	22	"f"	NA	1040	1.0481	"28.02.2020"	"BEG"	11	5	2
"BH-01717"	8	22	"f"	NA	1040	1.1782	"28.02.2020"	"BEG"	11	6	2
"BH-01717"	8	22	"f"	NA	1040	1.3241	"28.02.2020"	"BEG"	11	7	2
"BH-01717"	8	22	"f"	NA	1040	1.4968	"28.02.2020"	"BEG"	11	8	2
"BH-01717"	8	22	"f"	NA	1040	1.6247	"28.02.2020"	"BEG"	11	9	2
"BH-01717"	8	22	"f"	NA	1040	1.787	"28.02.2020"	"BEG"	11	10	2
"BH-01717"	8	22	"f"	NA	1040	1.8859	"28.02.2020"	"BEG"	11	11	2
"BH-01719"	8	23	"f"	1400	550	0.658	"23.12.2019"	"SB"	1	1	1
"BH-01722"	9	24	"f"	NA	950	0.4667	"28.02.2020"	"BEG"	12	1	2
"BH-01722"	9	24	"f"	NA	950	0.5524	"28.02.2020"	"BEG"	12	2	2
"BH-01722"	9	24	"f"	NA	950	0.6546	"28.02.2020"	"BEG"	12	3	2
"BH-01722"	9	24	"f"	NA	950	0.7941	"28.02.2020"	"BEG"	12	4	2
"BH-01722"	9	24	"f"	NA	950	0.9534	"28.02.2020"	"BEG"	12	5	2
"BH-01722"	9	24	"f"	NA	950	1.0995	"28.02.2020"	"BEG"	12	6	2
"BH-01722"	9	24	"f"	NA	950	1.1984	"28.02.2020"	"BEG"	12	7	2
"BH-01722"	9	24	"f"	NA	950	1.3566	"28.02.2020"	"BEG"	12	8	2
"BH-01722"	9	24	"f"	NA	950	1.4529	"28.02.2020"	"BEG"	12	9	2
"BH-01722"	9	24	"f"	NA	950	1.5575	"28.02.2020"	"BEG"	12	10	2
"BH-01722"	9	24	"f"	NA	950	1.6608	"28.02.2020"	"BEG"	12	11	2
"BH-01722"	9	24	"f"	NA	950	1.7342	"28.02.2020"	"BEG"	12	12	2
"BH-01731"	9	25	"m"	6800	950	0.6862	"8.1.2020"	"SB"	9	1	1
"BH-01731"	9	25	"m"	6800	950	0.8435	"8.1.2020"	"SB"	9	2	1
"BH-01731"	9	25	"m"	6800	950	0.995	"8.1.2020"	"SB"	9	3	1
"BH-01731"	9	25	"m"	6800	950	1.1015	"8.1.2020"	"SB"	9	4	1
"BH-01731"	9	25	"m"	6800	950	1.2293	"8.1.2020"	"SB"	9	5	1
"BH-01731"	9	25	"m"	6800	950	1.3283	"8.1.2020"	"SB"	9	6	1
"BH-01731"	9	25	"m"	6800	950	1.4486	"8.1.2020"	"SB"	9	7	1
"BH-01731"	9	25	"m"	6800	950	1.5766	"8.1.2020"	"SB"	9	8	1
"BH-01731"	9	25	"m"	6800	950	1.5766	"8.1.2020"	"SB"	9	9	1
"BH-01737"	10	26	"f"	11500	1130	0.3215	"27.2.2020"	"KB"	8	1	1
"BH-01737"	10	26	"f"	11500	1130	0.6297	"27.2.2020"	"KB"	8	2	1
"BH-01737"	10	26	"f"	11500	1130	0.9035	"27.2.2020"	"KB"	8	3	1
"BH-01737"	10	26	"f"	11500	1130	1.0904	"27.2.2020"	"KB"	8	4	1
"BH-01737"	10	26	"f"	11500	1130	1.1994	"27.2.2020"	"KB"	8	5	1
