"ID"	"waterbody"	"capt"	"clust"	"age"	"cohort"	"weight"	"TL"	"sex"	"lifeyear"	"year"	"inc"	"rad"	"d18O_mean"	"d18O_max"	"d18O_min"	"res_mean"	"res_max"	"res_min"	"Sr_mean"	"Sr_max"	"Sr_min"	"type"	"turbidity"	"SAL"	"WT"	"P"
"BH-01803"	"WRB"	"SB"	"IntS|Tcold"	4	2016	1900	600	"m"	"3"	2019	143.8	661.4	-5.28978413673469	-4.93325597142857	-5.65383482857143	0.601373513144856	0.735552047359604	0.421497158707845	0.00422641723356009	0.00477069841269841	0.00391142857142857	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-01803"	"WRB"	"SB"	"IntS|Tcold"	4	2016	1900	600	"m"	"4"	2020	167.4	828.8	-4.95958481428571	-4.95958481428571	-4.95958481428571	0.5185398233775	0.5185398233775	0.5185398233775	0.00500203174603174	0.00551695238095238	0.00452073015873016	"Coast"	2.11290322580645	9.26891891891892	10.6743243243243	1.17810810810811
"BH-01809"	"WRB"	"KB"	"IntS|Tcold"	2	2018	900	520	"m"	"1"	2019	345.4	345.4	-5.99368476071429	-4.90692712857143	-7.71441321428571	0.237169823864523	0.844630700744952	-0.848940197797117	0.00354070601851852	0.00581722222222222	0.00240972222222222	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-01809"	"WRB"	"KB"	"IntS|Tcold"	2	2018	900	520	"m"	"2"	2020	229.4	574.8	-5.42172529285714	-5.22010178571429	-5.54297654285714	0.739121933688054	1.07151509452402	0.532693305325091	0.00454483796296296	0.00524166666666667	0.00364111111111111	"Coast"	2.11290322580645	9.26891891891892	10.6743243243243	1.17810810810811
"BH-01812"	"WRB"	"SB"	"HighS|Tconstant"	6	2014	8900	1020	"f"	"1"	2015	392	392	-6.99690275612245	-5.99610978571429	-7.87515772857143	-0.577583236504001	0.372444534338718	-1.46198932918385	0.0037380012957564	0.00463963718820862	0.00321111111111111	"Coast"	1.846875	9.388	11.0185	1.2695
"BH-01812"	"WRB"	"SB"	"HighS|Tconstant"	6	2014	8900	1020	"f"	"2"	2016	424.1	816.1	-7.06349871168831	-6.56010131428572	-7.95691571428571	-0.590739730774411	-0.194952958107378	-1.23365375063471	0.00342506081220367	0.00486383219954648	0.00264170068027211	"Coast"	2.27333333333333	8.75531914893617	11.7181914893617	1.17670212765957
"BH-01812"	"WRB"	"SB"	"HighS|Tconstant"	6	2014	8900	1020	"f"	"3"	2017	238.1	1054.2	-6.51278858163265	-6.00026697142857	-6.83170411428571	-0.255737624230122	0.0226953873201625	-0.421955699826695	0.00355298995788792	0.00380766439909297	0.0032475283446712	"Coast"	1.97058823529412	8.85	11.3964285714286	1.6125
"BH-01812"	"WRB"	"SB"	"HighS|Tconstant"	6	2014	8900	1020	"f"	"4"	2018	84.5	1138.7	-6.096228675	-5.76192165714286	-6.50190071428572	-0.43147975673677	-0.129583811485029	-0.763352177399099	0.0046096201814059	0.00532301587301588	0.00421310657596372	"Coast"	1.52413793103448	7.70904255319149	12.055	1.708125
"BH-01812"	"WRB"	"SB"	"HighS|Tconstant"	6	2014	8900	1020	"f"	"5"	2019	129.9	1268.6	-6.35806208857143	-6.18872605714286	-6.52268664285714	-0.666308550099735	-0.454270595891097	-0.8448104968255	0.00520993197278911	0.0054578231292517	0.0046662358276644	"Coast"	2.025	9.2575	11.66625	1.20625
"BH-01812"	"WRB"	"SB"	"HighS|Tconstant"	6	2014	8900	1020	"f"	"6"	2020	107.1	1375.7	-6.53053910476191	-6.22752645714286	-6.74024602857143	-0.957990043232022	-0.693197455798296	-1.11356035936548	0.00496262131519274	0.00532333333333333	0.00471696145124717	"Coast"	2.11290322580645	9.26891891891892	10.6743243243243	1.17810810810811
