"id"	"sex"	"weight"	"TL"	"date"	"area"	"age"	"agei"	"increment"	"rad"	"trad"	"quality"	"back_length"
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	4	186.9	1090.4	1497.8	3	909.683577444349
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	5	109	1199.4	1497.8	3	970.86522649651
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	6	95.9	1295.3	1497.8	3	1023.24902844968
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	7	104.6	1399.9	1497.8	3	1079.00280923351
"BH-01737"	"f"	11500	1130	"27.2.2020"	"KB"	8	8	62.7	1462.6	1497.8	3	1111.78913790161
"BH-01738"	"f"	5400	860	"23.12.2019"	"SB"	6	1	430.9	430.9	1549.1	2	358.802582154521
"BH-01738"	"f"	5400	860	"23.12.2019"	"SB"	6	2	221.9	652.8	1549.1	2	476.543986922488
"BH-01738"	"f"	5400	860	"23.12.2019"	"SB"	6	3	289.4	942.2	1549.1	2	612.316453952531
"BH-01738"	"f"	5400	860	"23.12.2019"	"SB"	6	4	130.5	1072.7	1549.1	2	669.056462236612
"BH-01738"	"f"	5400	860	"23.12.2019"	"SB"	6	5	165.9	1238.6	1549.1	2	738.123473317952
"BH-01738"	"f"	5400	860	"23.12.2019"	"SB"	6	6	156.4	1395	1549.1	2	800.59037002587
"BH-01758"	"m"	2580	682	"1.5.2020"	"SB"	6	1	532.7	532.7	1274.8	3	375.740889704212
"BH-01758"	"m"	2580	682	"1.5.2020"	"SB"	6	2	202.7	735.4	1274.8	3	468.339785165811
"BH-01758"	"m"	2580	682	"1.5.2020"	"SB"	6	3	92.4	827.8	1274.8	3	507.782258612101
"BH-01758"	"m"	2580	682	"1.5.2020"	"SB"	6	4	117.6	945.4	1274.8	3	556.01955150688
"BH-01758"	"m"	2580	682	"1.5.2020"	"SB"	6	5	116.3	1061.7	1274.8	3	601.883885387108
"BH-01758"	"m"	2580	682	"1.5.2020"	"SB"	6	6	140.2	1201.9	1274.8	3	655.108183707284
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	1	364.6	364.6	1469.6	3	289.772517209496
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	2	190.9	555.5	1469.6	3	386.356123968546
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	3	205.6	761.1	1469.6	3	479.090260748125
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	4	141.8	902.9	1469.6	3	538.403139403811
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	5	143.3	1046.2	1469.6	3	595.406822996746
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	6	139.3	1185.5	1469.6	3	648.48699614899
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	7	134.2	1319.7	1469.6	3	697.781216550733
"BH-01767"	"f"	NA	751	"12.9.2020"	"KD"	8	8	115.5	1435.2	1469.6	3	738.945313380236
"BH-01772"	"f"	NA	634	"9.10.2020"	"KD"	5	1	476.1	476.1	1255.1	3	326.953318634458
"BH-01772"	"f"	NA	634	"9.10.2020"	"KD"	5	2	238.3	714.4	1255.1	3	431.410695154223
"BH-01772"	"f"	NA	634	"9.10.2020"	"KD"	5	3	196.2	910.6	1255.1	3	509.199799241312
"BH-01772"	"f"	NA	634	"9.10.2020"	"KD"	5	4	150.2	1060.8	1255.1	3	565.180013419942
"BH-01772"	"f"	NA	634	"9.10.2020"	"KD"	5	5	140	1200.8	1255.1	3	615.130205608044
"BH-01774"	"f"	NA	638	"9.10.2020"	"KD"	4	1	545.4	545.4	1253	3	361.43730719926
"BH-01774"	"f"	NA	638	"9.10.2020"	"KD"	4	2	202.6	748	1253	3	448.492793961979
"BH-01774"	"f"	NA	638	"9.10.2020"	"KD"	4	3	184.4	932.4	1253	3	521.357784612166
"BH-01774"	"f"	NA	638	"9.10.2020"	"KD"	4	4	168.3	1100.7	1253	3	583.94251918369
"BH-01776"	"f"	NA	574	"9.10.2020"	"KD"	2	1	576.9	576.9	1102.2	3	368.833394649254
"BH-01776"	"f"	NA	574	"9.10.2020"	"KD"	2	2	297.4	874.3	1102.2	3	489.986869279103
"BH-01789"	"m"	1700	600	"26.2.2020"	"KB"	2	1	310.9	310.9	758.8	3	326.149010251571
"BH-01789"	"m"	1700	600	"26.2.2020"	"KB"	2	2	289	599.9	758.8	3	511.015646440287
"BH-01802"	"m"	1980	638	"1.5.2020"	"SB"	4	1	551.3	551.3	1025.5	3	417.515107384804
"BH-01802"	"m"	1980	638	"1.5.2020"	"SB"	4	2	139.4	690.7	1025.5	3	487.030454479076
"BH-01802"	"m"	1980	638	"1.5.2020"	"SB"	4	3	159	849.7	1025.5	3	561.08113655222
"BH-01802"	"m"	1980	638	"1.5.2020"	"SB"	4	4	145.4	995.1	1025.5	3	625.017668372157
"BH-01803"	"m"	1900	600	"24.11.2019"	"SB"	4	1	299.9	299.9	1036.3	3	257.190448920543
"BH-01803"	"m"	1900	600	"24.11.2019"	"SB"	4	2	217.7	517.6	1036.3	3	373.404627622993
"BH-01803"	"m"	1900	600	"24.11.2019"	"SB"	4	3	143.8	661.4	1036.3	3	441.486456705132
"BH-01803"	"m"	1900	600	"24.11.2019"	"SB"	4	4	167.4	828.8	1036.3	3	515.061106887438
"BH-01809"	"m"	900	520	"26.2.2020"	"KB"	2	1	345.4	345.4	853.5	3	280.282747599117
"BH-01809"	"m"	900	520	"26.2.2020"	"KB"	2	2	229.4	574.8	853.5	3	396.927396947084
"BH-01812"	"f"	8900	1020	"22.11.2019"	"SB"	6	1	392	392	1517.7	3	404.539681305878
"BH-01812"	"f"	8900	1020	"22.11.2019"	"SB"	6	2	424.1	816.1	1517.7	3	667.611025480921
"BH-01812"	"f"	8900	1020	"22.11.2019"	"SB"	6	3	238.1	1054.2	1517.7	3	795.204357555939
"BH-01812"	"f"	8900	1020	"22.11.2019"	"SB"	6	4	84.5	1138.7	1517.7	3	838.215701265717
"BH-01812"	"f"	8900	1020	"22.11.2019"	"SB"	6	5	129.9	1268.6	1517.7	3	902.416972491224
"BH-01812"	"f"	8900	1020	"22.11.2019"	"SB"	6	6	107.1	1375.7	1517.7	3	953.793559144515
"BH-01814"	"m"	3600	780	"26.2.2020"	"KB"	6	1	427.6	427.6	1646.1	3	310.563746115105
"BH-01814"	"m"	3600	780	"26.2.2020"	"KB"	6	2	368.4	796	1646.1	3	474.813563847276
"BH-01814"	"m"	3600	780	"26.2.2020"	"KB"	6	3	157.8	953.8	1646.1	3	537.257712707309
"BH-01814"	"m"	3600	780	"26.2.2020"	"KB"	6	4	124.8	1078.6	1646.1	3	584.341014655034
"BH-01814"	"m"	3600	780	"26.2.2020"	"KB"	6	5	189.8	1268.4	1646.1	3	652.768364806792
"BH-01814"	"m"	3600	780	"26.2.2020"	"KB"	6	6	171.8	1440.2	1646.1	3	711.946852667262
"BH-01819"	"m"	2800	680	"27.2.2020"	"KB"	5	1	380.5	380.5	1126.1	3	324.0269830665
"BH-01819"	"m"	2800	680	"27.2.2020"	"KB"	5	2	163.3	543.8	1126.1	3	413.553027884547
"BH-01819"	"m"	2800	680	"27.2.2020"	"KB"	5	3	157.4	701.2	1126.1	3	491.989320810448
"BH-01819"	"m"	2800	680	"27.2.2020"	"KB"	5	4	143.1	844.3	1126.1	3	558.543691042006
"BH-01819"	"m"	2800	680	"27.2.2020"	"KB"	5	5	125.8	970.1	1126.1	3	614.138224101322
"BH-01835"	"m"	3800	820	"26.2.2020"	"KB"	6	1	479.5	479.5	1441.4	3	386.597062959649
"BH-01835"	"m"	3800	820	"26.2.2020"	"KB"	6	2	245.9	725.4	1441.4	3	512.962985158348
"BH-01835"	"m"	3800	820	"26.2.2020"	"KB"	6	3	164.3	889.7	1441.4	3	589.739928378927
