"ID"	"ID2"	"sex"	"weight_g"	"TL_mm"	"rad_mm"	"area"	"age"	"lifeyear"	"ecotype_char"	"ecotype_num"
"BH-01556"	23	"f"	NA	1110	1.4821	"NRB"	10	8	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	1.5964	"NRB"	10	9	"BW-resident"	1
"BH-01556"	23	"f"	NA	1110	1.7057	"NRB"	10	10	"BW-resident"	1
"BH-01560"	24	"f"	NA	820	0.5212	"NRB"	7	1	"BW-resident"	1
"BH-01560"	24	"f"	NA	820	0.7242	"NRB"	7	2	"BW-resident"	1
"BH-01560"	24	"f"	NA	820	0.8978	"NRB"	7	3	"BW-resident"	1
"BH-01560"	24	"f"	NA	820	1.065	"NRB"	7	4	"BW-resident"	1
"BH-01560"	24	"f"	NA	820	1.2257	"NRB"	7	5	"BW-resident"	1
"BH-01560"	24	"f"	NA	820	1.3387	"NRB"	7	6	"BW-resident"	1
"BH-01560"	24	"f"	NA	820	1.4462	"NRB"	7	7	"BW-resident"	1
"BH-01567"	25	"m"	NA	460	0.4767	"NRB"	2	1	"Trans-habitat"	4
"BH-01567"	25	"m"	NA	460	0.7458	"NRB"	2	2	"Trans-habitat"	4
"BH-01569"	26	"m"	NA	550	0.5524	"NRB"	2	1	"Trans-habitat"	4
"BH-01569"	26	"m"	NA	550	0.8158	"NRB"	2	2	"Trans-habitat"	4
"BH-01570"	27	"f"	NA	980	0.4231	"NRB"	10	1	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	0.6114	"NRB"	10	2	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	0.7912	"NRB"	10	3	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	1.0006	"NRB"	10	4	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	1.1506	"NRB"	10	5	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	1.2802	"NRB"	10	6	"BW-resident"	1
"BH-01570"	27	"f"	NA	980	1.4246	"NRB"	10	7	"BW-resident"	1
