"ID"	"waterbody"	"TL_mm"	"clust"	"ecotype"	"sex"	"lifeyear"	"inc_um"	"res_mean"	"Sr_mean"
"BH-01555"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"f"	1	424	1.25630740376648	-0.201611261406294
"BH-01555"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"f"	2	458	-0.166974194621637	0.276356359265097
"BH-01555"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"f"	3	250.7	-0.374167611963119	1.07503955548121
"BH-01555"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"f"	4	205.9	-0.751327071843049	1.50400455644142
"BH-01555"	"NRB"	760	"BW high saline|warm"	"BW-resident"	"f"	5	131.1	-1.0652535074752	1.41323630380468
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	1	378.8	0.798286197948027	0.251087231786857
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	2	224.6	1.1388430024566	0.0312911463909087
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	3	191	0.846528634662296	0.319285923752832
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	4	162.5	1.18591625300241	0.558143215864758
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	5	144.4	1.51779309999039	0.259030717269992
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	6	132.6	0.984691744433289	0.599850462705591
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	7	103.8	1.10425953681265	0.938175037750868
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	8	144.4	0.990061431001838	1.16972842919491
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	9	114.3	0.505087148082521	1.17920375979109
"BH-01556"	"NRB"	1110	"BW int saline|cold"	"BW-resident"	"f"	10	109.3	-0.307526768274428	1.22871236215611
"BH-01560"	"NRB"	820	"BW int saline|cold"	"BW-resident"	"f"	1	521.2	-0.793092966586661	0.137190825180407
"BH-01560"	"NRB"	820	"BW int saline|cold"	"BW-resident"	"f"	2	203	1.05603256797349	-0.168055596356732
"BH-01560"	"NRB"	820	"BW int saline|cold"	"BW-resident"	"f"	3	173.6	1.644378486544	-0.0168672213641552
"BH-01560"	"NRB"	820	"BW int saline|cold"	"BW-resident"	"f"	4	167.2	1.3921330282461	0.407627589344509
"BH-01560"	"NRB"	820	"BW int saline|cold"	"BW-resident"	"f"	5	160.7	-0.18649246867672	1.02219753181246
"BH-01560"	"NRB"	820	"BW int saline|cold"	"BW-resident"	"f"	6	113	0.84308975759921	1.04054177184666
"BH-01567"	"NRB"	460	"BW Low saline|shift"	"Trans-habitat"	"m"	1	476.7	-0.96301150721056	0.130508761883158
"BH-01567"	"NRB"	460	"BW Low saline|shift"	"Trans-habitat"	"m"	2	269.1	1.87566742630281	-0.00331626804920551
"BH-01569"	"NRB"	550	"BW Low saline|shift"	"Trans-habitat"	"m"	1	552.4	-0.0645762240298019	-0.261269439782805
"BH-01569"	"NRB"	550	"BW Low saline|shift"	"Trans-habitat"	"m"	2	263.4	0.349620683890232	0.0319662636958838
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	1	423.1	2.31178946605676	-0.693199091445352
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	2	188.3	1.83826180445782	0.254411493604352
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	3	179.8	0.878909672716203	0.535734059004804
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	4	209.4	0.502407536301874	0.928619166844629
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	5	150	1.02807756593952	1.29211811606218
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	6	129.6	1.05972092542729	1.09515757740301
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	7	144.4	1.28557038091746	0.963639988728091
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	8	143	0.456717626126234	1.79307252779492
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	9	140.9	1.52006370630908	1.46393744420617
"BH-01570"	"NRB"	980	"BW high saline|cold"	"BW-resident"	"f"	10	128.8	1.20242366372083	1.54158101034854
"BH-01571"	"NRB"	520	"BW Low saline|shift"	"Trans-habitat"	"f"	1	517.9	-0.855301785670141	-0.433544641373779
