"ID"	"age"	"cohort"	"capt"	"TL_mm"	"weight_g"	"sex"	"date"	"core"	"lifeyear"	"year"	"increment_um"	"rad_um"	"total_rad_um"	"quality"
"BH-00689"	2	2018	"WB"	600	NA	"m"	NA	197.7	1	2019	561	561	877.1	3
"BH-00689"	2	2018	"WB"	600	NA	"m"	NA	197.7	2	2020	316.1	877.1	877.1	3
"BH-00696"	4	2016	"WB"	790	NA	"f"	NA	125.6	1	2017	499.4	499.4	1042.2	3
"BH-00696"	4	2016	"WB"	790	NA	"f"	NA	125.6	2	2018	203.5	702.9	1042.2	3
"BH-00696"	4	2016	"WB"	790	NA	"f"	NA	125.6	3	2019	184.2	887.1	1042.2	3
"BH-00696"	4	2016	"WB"	790	NA	"f"	NA	125.6	4	2020	155.1	1042.2	1042.2	3
"BH-00729"	4	2015	"SB"	770	NA	"f"	NA	151.4	1	2016	461	461	1335.6	3
"BH-00729"	4	2015	"SB"	770	NA	"f"	NA	151.4	2	2017	347.4	808.4	1335.6	3
"BH-00729"	4	2015	"SB"	770	NA	"f"	NA	151.4	3	2018	221.9	1030.3	1335.6	3
"BH-00729"	4	2015	"SB"	770	NA	"f"	NA	151.4	4	2019	205.3	1235.6	1335.6	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	1	2012	491.2	491.2	1698.1	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	2	2013	393.6	884.8	1698.1	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	3	2014	146.7	1031.5	1698.1	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	4	2015	147.6	1179.1	1698.1	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	5	2016	123.8	1302.9	1698.1	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	6	2017	132.9	1435.8	1698.1	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	7	2018	87.6	1523.4	1698.1	3
"BH-00730"	8	2011	"SB"	758	NA	"m"	2019-12-14	179.8	8	2019	97.7	1621.1	1698.1	3
